count,ep_reward_average,loss,td_error,qmean,eps
0,NaN,0,0,0,1
5000,22.83,0,0,0,0.981
10000,21.68,1.103804,1.0492464,-0.08286053,0.962
15000,20.66,1.2459303,0.294527,4.325614,0.943
20000,23.3,3.0276725,0.054861,11.687917,0.924
25000,25.04,6.0911803,0.0339589,19.011196,0.905
30000,29.75,8.568057,0.019043364,26.543892,0.886
35000,27.97,9.691687,0.029201966,33.389835,0.867
40000,31.54,13.317324,0.0296648,41.24903,0.848
45000,33.63,17.014822,0.0367106,49.975967,0.829
50000,38.22,21.535841,0.042665552,61.3039,0.81
55000,39.2,34.180332,0.047764644,73.71623,0.791
60000,37.07,49.387264,0.044583257,86.78518,0.772
65000,41.23,59.105087,0.026576038,96.57621,0.753
70000,45.08,64.04291,0.031365912,107.08324,0.734
75000,44.67,75.148705,0.03689653,118.74422,0.715
80000,54.14,77.37002,0.04972361,132.7249,0.696
85000,59.17,82.545006,0.051888462,143.7244,0.677
90000,59.15,100.20305,0.03347397,154.29579,0.658
95000,66.76,119.45009,0.04580609,165.92903,0.639
100000,64.03,123.77165,0.03618226,176.16261,0.62
105000,75.77,132.62694,0.016696466,185.83795,0.601
110000,77.73,124.74695,0.022192802,192.08192,0.582
115000,82.42,139.31018,0.025734192,198.69084,0.563
120000,91.57,121.8122,-0.0012988282,204.13821,0.544
125000,105.46,110.67683,0.024217084,205.37253,0.525
130000,111.77,106.91338,0.046507783,209.36253,0.506
135000,112.1,106.40412,0.002458435,212.99527,0.487
140000,127.15,97.462555,-0.0055317497,213.08182,0.468
145000,141.64,72.87716,-0.004280386,214.73152,0.449
150000,158.21,64.465706,-0.006487031,214.19269,0.43
155000,175.86,70.73581,-0.015105867,211.91812,0.411
160000,181.92,65.13572,-0.0044097966,208.80902,0.392
165000,193.22,42.41808,-0.011857096,202.85085,0.373
170000,206.59,29.303007,0.016769102,193.96938,0.354
175000,206.96,24.872108,0.014910034,186.61096,0.335
180000,224.28,22.255648,0.011513022,182.28064,0.316
