count,ep_reward_average,loss,td_error,qmean,eps,beta
0,NaN,0,0,0,1,0.4
5000,20.05,0,0,0,0.962,0.406
10000,17,1.197649,1.0898495,-0.00051382673,0.924,0.41200000000000003
15000,20.2,0.6060242,0.38343388,4.0254745,0.886,0.41800000000000004
20000,31.95,1.1807773,0.06590813,11.1896105,0.848,0.42400000000000004
25000,35.95,1.9508567,0.03396384,18.6402,0.81,0.43000000000000005
30000,48.05,2.707366,0.033412986,26.985357,0.772,0.436
35000,48,3.541433,0.0437356,36.271168,0.734,0.442
40000,63.9,4.0250845,0.047529303,47.171986,0.696,0.448
45000,58.75,4.6517324,0.044181738,57.415787,0.658,0.454
50000,82.1,6.3123045,0.039486505,68.310844,0.62,0.46
55000,93.35,7.016657,0.02851579,78.12018,0.582,0.466
60000,127.2,5.2204595,0.020391017,84.83463,0.544,0.47200000000000003
65000,145.95,3.5774636,0.0337785,90.2146,0.506,0.47800000000000004
70000,152.65,4.638316,0.027343886,94.580605,0.468,0.484
75000,158.4,3.9259038,0.021787472,99.02324,0.43,0.49
80000,195.1,4.3754015,0.019265782,101.32667,0.392,0.496
85000,270.7,2.73212,0.014749272,101.741585,0.354,0.502
90000,245.05,1.1833243,0.012039802,102.43489,0.316,0.508
95000,296.65,0.8660939,0.011468442,103.46968,0.278,0.514
100000,302.85,0.91821474,0.0039758943,101.88082,0.24,0.52
105000,271.65,0.61516434,0.005712538,98.87339,0.202,0.526
110000,290.55,0.3640341,0.0043123676,95.90969,0.164,0.532
115000,290.75,0.2148083,0.004683124,92.73759,0.126,0.538
120000,288.95,0.10082095,0.0011755023,91.08297,0.088,0.544
125000,300.7,0.095874295,0.0004984135,88.701614,0.05,0.55
130000,303.6,0.06833385,0.0001411047,86.16849,0.05,0.556
135000,310.1,0.04717347,-0.004021286,83.382034,0.05,0.562
140000,323.9,0.031108802,-0.005705144,83.006355,0.05,0.5680000000000001
145000,334.4,0.037715085,-0.0016609619,82.82732,0.05,0.5740000000000001
150000,317,0.02559845,-0.00169206,80.55212,0.05,0.5800000000000001
155000,350.15,0.025291216,-0.0007316542,79.69944,0.05,0.5860000000000001
160000,353.55,0.019850655,-0.000088926194,79.81954,0.05,0.5920000000000001
165000,387.4,0.01977479,-0.0030383975,80.04131,0.05,0.598
170000,401.5,0.022367502,-0.0018829254,81.910355,0.05,0.604
175000,422.5,0.018238442,-0.0014849098,82.76698,0.05,0.61
180000,442.6,0.018582651,-0.001212745,83.48025,0.05,0.616
185000,477,0.018972464,-0.00096294,85.57476,0.05,0.622
190000,489.1,0.016464174,0.00014101256,88.1371,0.05,0.628
195000,488.25,0.013411137,0.0006508613,90.0777,0.05,0.634
200000,491.8,0.009866545,0.0021856776,91.80802,0.05,0.64
205000,496.15,0.010102542,0.0011490886,92.42142,0.05,0.646
210000,496.4,0.010157689,0.0017233513,92.30163,0.05,0.652
