count,ep_reward_average,loss,td_error,qmean
0,NaN,0,0,0
5000,15.26,0,0,0
10000,15.45,0.57015306,0.7429396,-0.018608483
15000,12.44,2.6478395,0.54469234,3.5302336
20000,16.23,5.861274,0.23945963,8.908873
25000,39.77,7.837404,0.1232126,13.005068
30000,30.63,11.880013,0.11669051,19.769909
35000,53.42,13.895147,0.06059203,24.841768
40000,66.65,11.102134,0.04439057,27.582825
45000,87.03,8.421702,0.059574425,30.45439
50000,105.2,6.5827284,0.06888245,31.14846
55000,111.54,7.4052143,0.08510914,31.841328
60000,104.09,6.9119887,0.0947057,33.768024
65000,109.59,9.16965,0.08671429,35.493305
70000,135.07,16.573856,0.19706327,39.234924
75000,157.8,18.550838,0.085688956,44.97776
80000,173.64,17.244358,0.10393234,48.67674
85000,178.73,19.762152,0.14153773,50.124485
90000,166.54,19.098904,0.08301309,50.519653
95000,151.98,19.226898,0.11606214,53.43105
100000,154.94,17.647724,0.096360154,56.39453
105000,151.96,15.899084,0.04177438,57.442142
110000,147.47,14.851698,0.06398586,55.78002
115000,133.11,14.016968,0.03114221,55.02747
120000,123.11,13.368395,0.07078586,55.76973
125000,119.28,11.353987,-0.018347848,53.937126
130000,125.16,7.474804,0.0051201023,53.01715
135000,130.85,6.213836,0.045307677,54.60281
140000,135.36,6.417475,0.010275709,55.878647
145000,138.48,5.781628,0.017055934,59.2868
150000,134.37,5.065126,0.009791303,61.753838
155000,137.66,4.5009413,-0.0072004725,61.92281
160000,152.65,3.7486699,0.009155866,59.371655
165000,168.71,2.494917,0.019398803,56.809727
170000,189.07,2.1432843,0.017139217,55.90448
175000,208.29,2.0296729,0.013833241,58.857193
180000,221.66,2.1639695,0.018138217,61.812874
185000,243.86,2.3759418,0.010678843,66.327835
190000,265.5,2.3430002,0.016277155,70.89528
195000,296.38,2.3096347,-0.00095497526,77.04137
200000,319.5,5.230847,0.011618109,86.78404
205000,259.65,24.136665,0.05032773,92.99865
210000,190.06,34.98223,0.016816778,84.566124
215000,117.15,18.762793,-0.014680916,71.17398
220000,134.85,1.7337325,-0.013165222,63.335777
225000,141.58,1.2479472,-0.017821815,61.70881
230000,149.5,0.9314115,-0.008355309,60.881237
235000,158.39,0.77399635,-0.009695093,60.280266
240000,166.71,0.63924867,-0.0037620142,59.806587
245000,173.78,0.59986234,-0.0044722585,59.329758
250000,179.74,0.60750175,0.011121657,59.95871
255000,184.84,0.59526134,0.0053666364,61.60459
260000,194.74,0.47440246,-0.005039347,62.028854
265000,207.88,0.46064684,0.002211132,63.61189
270000,221.15,0.4236055,0.0028301827,65.31166
275000,235.67,0.38970038,0.0063192663,66.558136
280000,252.76,0.44880715,0.006014978,69.267044
285000,272.1,0.4543492,-0.0007018544,71.517296
290000,294.99,1.423811,0.007052839,77.499916
295000,301.93,4.3999233,0.004613607,84.56412
300000,319.79,4.12051,0.011865406,86.34983
305000,334.98,1.3141638,-0.008982763,85.934235
310000,334.71,0.87003595,-0.00002268502,84.736595
315000,335.76,1.1304275,-0.00026767654,80.785995
320000,331.32,1.0218992,0.0065873326,80.35579
325000,338.18,0.89517415,-0.0046298467,82.297874
330000,347.89,0.6152031,0.0044246945,84.22728
335000,349.54,0.5059863,0.00025847965,85.134575
340000,352.8,0.52241814,0.0038042655,84.561325
345000,364.47,0.46110868,-0.00004905787,84.71561
350000,381.17,0.39404914,0.0008569353,83.11652
355000,390.74,0.35820752,0.002679914,84.19916
360000,400.77,0.32811055,-0.002494608,84.18425
365000,403.04,0.32644933,0.0046244143,84.569916
370000,407.99,0.41455096,0.0060369624,85.15759
375000,416.5,0.4719041,0.0010742586,86.14882
380000,426.54,0.43116194,0.0012869551,88.99603
385000,431.93,0.34402472,-0.00057870575,92.569405
390000,445.99,0.31396663,0.006734398,92.75732
395000,455.34,0.25188377,-0.003262647,93.30901
400000,460.79,0.16967288,0.002174437,95.56908
405000,467.43,0.14743388,0.0059298254,97.80132
410000,477.72,0.11978966,-0.00088463584,100.33075
415000,483.75,0.13025828,0.0005211574,101.240486
420000,492.49,0.13843913,0.00077524624,101.56316
425000,496.41,0.15502381,0.000852842,100.73241
430000,497.84,0.120418966,-0.00041290367,101.08821
435000,500,0.11578599,-0.00008338046,101.65956
440000,500,0.12221925,0.0003721305,101.39238
445000,500,0.10490287,0.0013820565,101.88522
450000,500,0.10863506,0.003235953,102.234566
455000,500,0.13898665,0.000503064,103.26922
460000,500,0.11640361,-0.0033374825,103.343636
465000,500,0.11500075,0.002995725,102.94383
470000,500,0.1257591,-0.0005162189,102.74059
475000,500,0.12618567,0.0059389416,103.14972
480000,500,0.10967474,0.000003788948,104.25679
485000,500,0.11989083,-0.001587002,103.98591
490000,500,0.12631172,-0.0013448576,103.85336
495000,500,0.1009112,0.0017427888,103.343
500000,500,0.104597084,-0.0016424857,103.454636
