count,ep_reward_average,loss,td_error,qmean,eps,beta
340000,491.4,0.06874591,-0.005945636,100.53195,0.05,0.808
345000,491.4,0.047114853,0.0040375288,100.31646,0.05,0.8140000000000001
350000,491.4,0.0031485937,0.001687483,100.21666,0.05,0.8200000000000001
355000,491.4,0.00055021903,0.0006825471,100.22733,0.05,0.8260000000000001
360000,491.4,0.00040985682,0.0007955813,100.31224,0.05,0.8320000000000001
365000,491.4,0.00034754744,0.0013663818,100.48644,0.05,0.8380000000000001
370000,491.4,0.00030358855,0.00028093124,100.64964,0.05,0.8440000000000001
375000,491.4,0.00030026172,0.00011797428,100.81412,0.05,0.85
380000,491.4,0.00019949918,-0.00021500123,101.064804,0.05,0.856
385000,495.26,0.00016693329,0.000082861065,101.38659,0.05,0.862
390000,500,0.00044432614,-0.00021234047,100.63665,0.05,0.868
395000,500,0.00050350913,0.00011138642,98.619125,0.05,0.874
400000,500,0.00043693426,0.0007147987,98.14095,0.05,0.88
405000,500,0.00029161593,0.00038991703,99.18652,0.05,0.886
410000,500,0.00025073858,0.0006738707,100.12946,0.05,0.892
415000,500,0.00020934259,0.0011644346,100.84459,0.05,0.898
420000,500,0.00013815142,0.0009327986,101.14388,0.05,0.904
425000,500,0.00011577045,0.0009977659,101.200806,0.05,0.91
430000,500,0.000105115316,0.00094369636,101.246445,0.05,0.916
435000,500,0.000103624494,0.0012246561,101.19665,0.05,0.922
440000,500,0.0001257809,0.0012330359,101.19439,0.05,0.928
445000,500,0.00010875661,0.0009575278,101.22013,0.05,0.934
450000,500,0.000097401746,0.0011699699,101.171455,0.05,0.94
455000,500,0.000087225555,0.0011364418,101.058716,0.05,0.946
460000,500,0.00008988959,0.0011329344,100.98273,0.05,0.952
465000,500,0.00010482412,0.0010088569,100.93856,0.05,0.958
470000,500,0.00019061707,0.0010701942,100.90927,0.05,0.964
475000,500,0.00021651393,0.0019356563,100.86549,0.05,0.97
480000,500,0.00014378368,0.0014856478,100.79659,0.05,0.976
485000,500,0.0001318561,0.0014017466,100.73267,0.05,0.982
490000,500,0.0001205293,0.0018208255,100.733955,0.05,0.988
495000,500,0.0000959524,0.0014210922,100.70874,0.05,0.994
500000,498.8,0.0075903917,-0.0018885811,100.673454,0.05,1
