count,ep_reward_average,ep_step_average
0,0,0
5000,-185.91006,89
10000,-173.13214,91
15000,-152.22163,93
20000,-140.94954,94
25000,-134.42609,96
30000,-126.435524,98
35000,-128.53053,101
40000,-130.90578,103
45000,-118.422386,105
50000,-100.69994,108
55000,-92.02224,109
60000,-88.38027,113
65000,-89.611305,115
70000,-85.449356,118
75000,-75.72843,122
80000,-75.16047,124
85000,-69.57794,126
90000,-64.941895,127
95000,-54.223488,131
100000,-41.913418,134
105000,-33.708916,137
110000,-32.404884,141
115000,-41.900543,143
120000,-46.75567,146
125000,-48.157425,148
130000,-45.892124,151
135000,-44.096718,154
140000,-40.864906,157
145000,-39.56892,160
150000,-33.283714,162
155000,-29.232944,164
160000,-26.173628,167
165000,-25.988258,171
170000,-23.865425,175
175000,-27.901884,177
180000,-32.263943,180
185000,-32.339806,184
190000,-33.02473,187
195000,-30.11354,190
200000,-27.760124,193
205000,-27.146551,197
210000,-26.820314,199
215000,-15.499576,203
220000,-17.746935,206
225000,-14.884458,209
230000,-4.2242646,212
235000,0.9708222,216
240000,12.457551,219
245000,21.290075,223
250000,28.70717,226
255000,33.658802,229
260000,35.141613,232
265000,38.682224,236
270000,43.751137,238
275000,47.038265,242
280000,50.682354,245
285000,53.899567,248
290000,55.444515,251
295000,54.82334,253
300000,54.49491,256
305000,57.947315,259
310000,57.839985,262
315000,55.190186,265
320000,51.474255,268
325000,47.439842,271
330000,47.554752,274
335000,45.372326,277
340000,44.573414,279
345000,50.32091,283
350000,49.684105,285
355000,49.171894,288
360000,47.83838,291
365000,48.535397,294
370000,47.99951,297
375000,50.388065,299
380000,51.481915,301
385000,52.94246,304
390000,52.625942,307
395000,50.918335,309
400000,53.843197,311
405000,59.35173,314
410000,64.41062,316
415000,65.48584,319
420000,67.98114,321
425000,67.234116,323
430000,68.32884,326
435000,68.706345,328
440000,69.52646,330
445000,70.37411,332
450000,73.831345,334
455000,75.46051,336
460000,79.57303,339
465000,82.954254,341
470000,87.03888,344
475000,91.60589,346
480000,93.17207,348
485000,92.783134,350
490000,94.328545,353
495000,90.27271,354
500000,91.82907,356
505000,92.39886,358
510000,96.42706,361
515000,99.32272,362
520000,101.454475,364
525000,104.10333,366
530000,107.068596,368
535000,109.358986,370
540000,107.9053,372
545000,105.46363,374
550000,105.8487,376
555000,109.26778,378
560000,108.48107,380
565000,109.15154,381
570000,113.767815,383
575000,114.86021,385
580000,117.32073,387
585000,119.27982,389
590000,119.46433,391
595000,120.73118,392
600000,122.95291,394
605000,124.38679,396
610000,124.777214,398
615000,125.34072,400
620000,125.55584,401
625000,126.76479,403
630000,126.5777,404
635000,126.483,406
640000,124.32544,407
645000,122.70532,409
650000,124.50226,411
655000,118.953514,412
660000,119.14551,414
665000,118.33894,416
670000,121.183235,417
675000,122.00294,419
680000,120.899704,420
685000,118.66149,422
690000,119.1611,424
695000,121.420105,426
700000,120.65813,427
705000,118.73522,429
710000,120.668526,430
715000,121.09107,432
720000,121.519905,433
725000,122.74535,435
730000,123.04193,436
735000,126.0149,438
740000,129.19324,439
745000,130.4903,441
750000,132.0223,442
755000,133.29759,444
760000,132.81082,445
765000,133.63203,447
770000,134.09558,448
775000,136.24356,450
780000,137.65024,451
785000,140.2995,452
790000,147.13724,453
795000,154.42467,452
800000,158.04245,452
805000,180.15207,450
810000,184.52818,450
815000,197.51665,448
820000,203.4673,448
825000,207.41206,447
830000,211.87584,445
835000,219.25967,445
840000,220.63988,443
845000,231.88116,442
850000,248.5566,440
855000,252.83899,439
860000,250.17537,438
865000,245.68312,437
870000,238.42755,436
875000,233.60754,435
880000,222.98837,433
885000,218.98656,432
890000,220.5454,431
895000,220.20721,429
900000,224.46916,429
905000,220.2989,428
910000,216.05885,427
915000,212.56648,425
920000,211.41406,426
925000,215.97992,426
930000,226.08958,425
935000,216.34053,425
940000,220.03267,424
945000,227.9086,424
950000,230.84534,423
955000,239.89941,422
960000,238.72043,422
965000,235.15373,422
970000,240.41182,421
975000,240.29108,420
980000,238.28055,420
985000,232.27182,419
990000,230.44336,418
995000,218.74037,416
1000000,223.94617,416
1005000,221.24568,415
1010000,218.6218,413
1015000,210.13078,413
1020000,213.48799,412
1025000,207.18742,411
1030000,196.27455,410
1035000,195.574,411
1040000,204.0065,409
1045000,216.11578,409
1050000,223.50041,408
1055000,229.94551,408
1060000,232.37813,408
1065000,237.9702,408
1070000,232.65794,408
1075000,220.774,406
1080000,215.48752,406
1085000,212.13988,406
1090000,217.8007,404
1095000,215.63351,403
1100000,225.83195,402
1105000,225.64629,401
1110000,217.78053,400
1115000,216.62323,400
1120000,223.46458,398
1125000,220.33923,398
1130000,222.9518,397
1135000,219.39418,397
1140000,232.13045,396
1145000,222.52734,395
1150000,223.06355,394
1155000,229.79169,393
1160000,234.6932,393
1165000,230.74863,392
1170000,233.18776,391
1175000,234.55663,391
1180000,227.59744,391
1185000,224.88492,390
1190000,232.53146,389
1195000,230.7832,389
1200000,235.16853,388
1205000,240.96896,387
1210000,240.30768,387
1215000,236.08746,387
1220000,238.67642,385
1225000,238.41028,384
1230000,242.0701,383
1235000,248.90395,381
1240000,246.88405,381
1245000,246.03348,380
1250000,244.77193,379
1255000,248.83803,378
1260000,248.50305,377
1265000,252.66832,376
1270000,256.98218,376
1275000,261.7762,375
1280000,265.4659,374
