count,ep_reward_average,loss,td_error,qmean,eps
0,NaN,0,0,0,1
5000,21.88,0,0,0,0.962
10000,20.09,1.1797693,1.0817677,0.008049202,0.924
15000,19.4,1.3654991,0.3339919,4.2072935,0.886
20000,30.41,3.1179576,0.06381735,11.580474,0.848
25000,30.13,6.275293,0.036248643,19.105492,0.81
30000,40.44,8.980095,0.03475076,27.304258,0.772
35000,43.87,12.7812,0.032521874,36.479176,0.734
40000,51.59,16.990934,0.026411243,45.45987,0.696
45000,52.79,20.313282,0.030900192,54.687485,0.658
50000,69.77,23.882767,0.033500884,63.36379,0.62
55000,82.32,23.98045,0.024112232,72.42348,0.582
60000,94.89,24.848051,0.027057543,81.02506,0.544
65000,109.87,23.743778,0.01542251,87.32872,0.506
70000,118.64,20.347801,0.016217127,89.59472,0.468
75000,132.8,18.895538,0.017085645,92.50299,0.43
80000,142.54,12.628227,0.012957664,95.350365,0.392
85000,161.59,9.333391,0.0070830625,96.25876,0.354
90000,180.25,6.9332547,0.0035599365,94.87627,0.316
95000,190.29,5.4924636,0.0020171413,91.8358,0.278
100000,202.17,2.6449041,0.0028382684,90.12301,0.24
105000,211.13,2.233954,-0.0013556676,89.78352,0.202
110000,221.33,1.1708938,0.0011144197,87.64151,0.164
115000,230.35,0.5660256,-0.001132089,85.46359,0.126
120000,236.61,0.2539836,-0.0004510089,83.32914,0.088
125000,239.14,0.14569232,-0.0010954719,80.658165,0.05
130000,242.08,0.08806264,-0.00090795156,77.99024,0.05
135000,245.44,0.08357062,-0.00038107668,76.33456,0.05
140000,248.14,0.08245278,-0.00029633724,75.25571,0.05
145000,251.32,0.066060394,-0.00012660726,74.19968,0.05
150000,256.15,0.059351288,-0.00014335738,72.99394,0.05
155000,257.55,0.06147508,-0.00015281343,72.38477,0.05
160000,262.48,0.06786161,0.00021515758,71.66861,0.05
165000,264.05,0.06273146,-0.000045617075,70.54727,0.05
170000,268.85,0.07510005,0.00019830135,70.56013,0.05
175000,275.01,0.077341355,0.0002121306,71.11673,0.05
180000,280.87,0.052204277,0.000035989313,71.23521,0.05
185000,288.76,0.05371437,0.00049263757,71.83466,0.05
190000,301.97,0.8970711,0.0007634406,75.75239,0.05
195000,311.83,1.1084554,-0.0015386612,80.92933,0.05
200000,317.27,0.16525517,-0.00082988624,81.933685,0.05
205000,325.91,0.10795845,-0.00063139346,82.05805,0.05
210000,331.46,0.12934856,0.00028059102,82.1056,0.05
215000,335.25,0.11963185,-0.00012872786,82.94737,0.05
220000,340.53,0.10111731,-0.0002629563,84.906525,0.05
225000,342.73,0.08544801,-0.000051591494,84.23339,0.05
230000,351.15,0.065793246,-0.0003842122,85.1236,0.05
235000,356.72,0.060211442,0.0000007335246,86.81822,0.05
240000,370.81,0.052038148,-0.00015806001,86.738785,0.05
245000,374.95,0.050644256,0.000091665686,85.48341,0.05
250000,385.94,0.045763247,-0.000024682238,84.70541,0.05
255000,390.54,0.04045226,0.0001443146,84.153046,0.05
260000,398.35,0.038370032,0.00012472966,84.998695,0.05
265000,410.24,0.0425453,-0.00012065557,86.062004,0.05
270000,419.24,0.0533076,0.00020126157,88.52265,0.05
275000,428.21,0.033432454,0.000067268214,90.10643,0.05
280000,440.82,0.018922832,0.00020742932,93.19831,0.05
285000,444.68,0.051848024,0.00003153205,95.2241,0.05
290000,458.47,0.04462141,0.00021337233,94.70146,0.05
295000,464.9,0.014228603,-0.0001034652,95.62523,0.05
300000,474.84,0.012067901,0.000051357427,97.003494,0.05
305000,483.19,0.009474846,0.000049057126,99.064095,0.05
310000,490.21,0.0066199913,0.000099577366,100.517105,0.05
315000,493.63,0.007850625,-0.00007364667,101.01842,0.05
320000,496.24,0.010173598,0.00011595023,101.0162,0.05
325000,497.61,0.009239529,0.0000781585,101.00275,0.05
330000,497.61,0.012350647,0.00005138731,100.84893,0.05
335000,499.7,0.01072491,0.000015883565,100.84183,0.05
340000,500,0.0077655227,0.00006969047,101.082184,0.05
345000,500,0.0077884113,0.0001323613,101.126976,0.05
350000,500,0.007389108,0.000015347123,101.208595,0.05
355000,500,0.006643972,-0.000005070448,101.22874,0.05
360000,500,0.0073938165,0.00002223742,101.147736,0.05
365000,496.66,0.42209914,-0.00020454002,101.05365,0.05
370000,495.6,1.7692688,-0.0008272349,99.30004,0.05
375000,492.18,1.2546303,0.0009021062,93.32166,0.05
380000,492.18,0.049344234,-0.0006379938,91.08531,0.05
385000,492.18,0.017814752,-0.000041340707,96.40532,0.05
390000,492.18,0.003915096,0.0000660907,100.0787,0.05
395000,492.18,0.0029365441,0.00009947586,100.64046,0.05
400000,492.18,0.0030382902,0.00006216395,100.90533,0.05
405000,492.18,0.0030675998,-0.000049306393,100.95883,0.05
410000,492.18,0.0023010513,0.00007201457,100.82763,0.05
415000,495.52,0.001591772,0.000018547178,100.8095,0.05
420000,496.66,0.0014509972,-0.000025243282,100.73851,0.05
425000,500,0.0019440061,0.00002675724,100.63933,0.05
430000,500,0.0045961305,0.000038693546,100.6047,0.05
435000,500,0.0032376244,0.000031095267,100.55003,0.05
440000,500,0.002036237,-0.000033299923,100.56606,0.05
445000,500,0.0019943148,0.0000027908086,100.62509,0.05
450000,499.23,0.24573086,-0.00009881675,100.60742,0.05
455000,499,0.89496773,-0.00057892833,99.404396,0.05
460000,494.12,0.24511562,0.00004213314,93.282455,0.05
465000,490.6,0.065719575,0.0007898033,86.70359,0.05
470000,487.98,0.0292371,-0.00012654049,84.56772,0.05
475000,487.68,0.020673681,0.00018202631,84.08521,0.05
480000,487.59,0.015990015,0.0000070028714,86.708755,0.05
485000,487.59,0.009350211,0.00016817087,92.465,0.05
490000,487.59,0.0051121535,0.0000016970039,97.550156,0.05
495000,487.59,0.0038604585,-0.000061412815,99.66665,0.05
500000,488.36,0.0024857102,0.0000061091187,100.54784,0.05
