count,ep_reward_average,loss,td_error,qmean,eps
0,NaN,0,0,0,1
5000,21.87,0,0,0,0.981
10000,21.1,1.2047282,1.0903729,0.059080556,0.962
15000,21.08,1.3061615,0.32750085,4.4153056,0.943
20000,29.78,2.9653723,0.0605846,11.604617,0.924
25000,25.61,6.320001,0.038885985,19.638294,0.905
30000,29.2,9.613287,0.019540615,27.05762,0.886
35000,31.87,10.349511,0.029635826,33.89948,0.867
40000,27.86,12.430126,0.031509414,41.89139,0.848
45000,32.92,16.336435,0.028649068,50.601234,0.829
50000,33.26,21.437038,0.025851032,59.76589,0.81
55000,36.37,28.812067,0.03312285,69.57788,0.791
60000,42.47,35.639122,0.044063278,80.49712,0.772
65000,42.94,43.05534,0.05883293,92.96874,0.753
70000,41.35,61.575848,0.055731077,107.19054,0.734
75000,53.81,73.40302,0.041131612,121.59702,0.715
80000,51.99,74.721054,0.041096717,134.2737,0.696
85000,56.49,92.69038,0.053465087,147.47803,0.677
90000,63.38,102.90236,0.04375197,161.7519,0.658
95000,60.55,110.55951,0.040569887,173.71666,0.639
100000,63.66,113.186,0.027085066,185.06407,0.62
105000,69.94,124.22527,0.047636326,195.40149,0.601
110000,72.33,127.86161,0.027739733,205.45601,0.582
115000,81.33,128.19742,0.041307077,212.23819,0.563
120000,88.4,134.72807,-0.00023549318,218.11238,0.544
125000,105.68,111.65174,-0.0016828193,221.68321,0.525
130000,118.04,85.566986,0.0077534406,222.90219,0.506
135000,127.41,61.45189,-0.0002602639,218.52657,0.487
140000,131.26,73.16197,0.0018731642,217.58505,0.468
145000,131.28,79.91612,-0.0015268708,215.6987,0.449
150000,140.85,65.130325,0.008223138,207.99438,0.43
155000,154.37,43.800514,0.017376432,197.38223,0.411
160000,157.85,34.723602,0.014327,184.36795,0.392
165000,160.03,32.193844,0.0061053885,171.02383,0.373
170000,159.82,27.962019,0.0006144209,158.95338,0.354
175000,164.93,23.259302,-0.005651682,150.64636,0.335
180000,181.24,24.616192,-0.01330286,143.85529,0.316
185000,196.16,19.392406,-0.020341802,138.95296,0.297
190000,223.22,12.100879,-0.0067747426,131.95609,0.278
195000,251.17,12.602083,-0.010624282,135.81346,0.259
200000,273.29,10.702984,-0.008438553,154.6371,0.24
205000,280.42,12.848856,-0.0033770404,167.54767,0.221
210000,287.15,8.244902,-0.011424406,166.6375,0.202
215000,289.53,4.7286572,0.002759059,159.00417,0.183
220000,255.01,2.517846,0.011069454,147.91466,0.164
225000,240.22,1.9589607,0.016925849,137.18533,0.145
230000,226.15,1.730809,0.016097669,127.48858,0.126
235000,207.59,1.5014107,0.013096463,118.04803,0.107
240000,202.18,1.2737522,0.00849501,108.67619,0.088
245000,195.07,1.1139345,0.0030020943,101.19781,0.069
250000,192.41,0.8831335,0.0010654114,93.19351,0.05
255000,191.93,0.73886174,0.0012166875,87.136055,0.05
260000,193.85,0.6854581,0.0009586022,83.14686,0.05
265000,198.52,0.61336803,0.0025139838,80.4097,0.05
270000,203.36,0.57684296,0.0010162435,78.74367,0.05
275000,211.89,0.51233375,0.00003400743,77.88595,0.05
280000,220.86,0.48954567,0.00016563946,77.56594,0.05
285000,231.33,0.41419053,0.0009314613,77.67015,0.05
290000,243.58,0.32768655,0.00047383166,78.32088,0.05
295000,259.09,0.5995004,0.0018228139,81.51464,0.05
300000,279.86,0.6718442,0.0010099029,90.084465,0.05
305000,303.66,0.35906652,-0.000099116325,95.961784,0.05
310000,329.71,0.11536094,0.00042858828,101.220604,0.05
315000,356.49,0.08776101,0.000029547535,108.27314,0.05
320000,380.13,0.058086008,-0.00005179672,109.92222,0.05
325000,404.46,0.04479136,-0.00019686614,110.31976,0.05
330000,426.61,0.07640111,0.00033816573,108.87142,0.05
335000,448.27,0.062019736,-0.00013007334,108.3564,0.05
340000,467.35,0.045741133,0.000056819677,107.569244,0.05
345000,477.49,0.03923111,-0.00019966376,106.572845,0.05
350000,491.32,0.030056465,-0.00019210253,107.10886,0.05
355000,496.01,0.024635378,0.000019817233,107.031006,0.05
360000,496.01,0.024699297,-0.00002863121,106.54572,0.05
365000,497.66,0.023753464,-0.00009086888,105.87852,0.05
