count,ep_reward_average,loss,td_error,qmean,eps,beta
0,NaN,0,0,0,1,0.4
5000,19.75,0,0,0,0.962,0.406
10000,19.85,1.1877797,1.0846179,0.06307543,0.924,0.41200000000000003
15000,21.2,0.58594877,0.36553907,4.317199,0.886,0.41800000000000004
20000,29.5,0.92888194,0.057833396,11.177322,0.848,0.42400000000000004
25000,21.75,1.700978,0.029350521,18.707521,0.81,0.43000000000000005
30000,36.1,2.5287082,0.021432491,26.264057,0.772,0.436
35000,49.7,3.2489808,0.0324224,33.808823,0.734,0.442
40000,50.5,3.515578,0.048119087,42.77533,0.696,0.448
45000,54.9,4.5945916,0.03555874,51.718025,0.658,0.454
50000,75.95,5.9779296,0.02966267,60.651096,0.62,0.46
55000,63.1,4.6601458,0.056393165,69.78833,0.582,0.466
60000,105.15,5.818255,0.03203215,77.030136,0.544,0.47200000000000003
65000,123.15,5.2748556,0.03281848,84.51708,0.506,0.47800000000000004
70000,152.95,6.0650554,0.023714291,92.222336,0.468,0.484
75000,181.5,5.2937546,0.025716573,98.64074,0.43,0.49
80000,220.5,3.9651446,0.018324286,102.003075,0.392,0.496
85000,253.7,2.1709895,0.027066287,102.596405,0.354,0.502
90000,247.9,1.948281,0.008348936,101.72153,0.316,0.508
95000,276.9,2.591201,0.0034628506,103.10332,0.278,0.514
100000,295.8,2.060856,0.00535793,103.434555,0.24,0.52
105000,340.35,1.018954,-0.000029078961,100.08363,0.202,0.526
110000,359.4,0.45212817,0.0018726892,97.54842,0.164,0.532
115000,378.15,0.19139563,0.0048907525,97.08355,0.126,0.538
120000,390.6,0.12972334,0.003911726,97.06939,0.088,0.544
125000,403.35,0.07071313,0.0036509219,97.13425,0.05,0.55
130000,399.2,0.0534698,0.002282959,95.720085,0.05,0.556
135000,401.3,0.027016085,-0.001063801,92.73027,0.05,0.562
140000,408.1,0.01942731,-0.0021746026,90.56969,0.05,0.5680000000000001
145000,436.65,0.016873837,-0.00223506,90.87872,0.05,0.5740000000000001
150000,444.95,0.016824564,-0.0015264596,90.67394,0.05,0.5800000000000001
155000,458.9,0.015892493,-0.0020382074,88.926285,0.05,0.5860000000000001
160000,468.3,0.017710244,-0.0022999758,89.39196,0.05,0.5920000000000001
165000,485.3,0.017037965,-0.00030964983,91.818504,0.05,0.598
170000,492.85,0.011913429,-0.00036753184,93.19464,0.05,0.604
175000,489.95,0.009084492,-0.0001715129,95.29149,0.05,0.61
180000,495.15,0.0077726673,0.00020059782,97.30586,0.05,0.616
185000,500,0.0062390445,0.0010296755,97.956024,0.05,0.622
190000,500,0.005982367,0.0027356108,99.07911,0.05,0.628
195000,500,0.006937242,0.0045171776,100.687485,0.05,0.634
200000,500,0.005901049,0.005059932,100.88676,0.05,0.64
205000,484.15,0.17786083,-0.0023091442,100.7012,0.05,0.646
210000,483.25,0.1367101,-0.0028478813,98.00681,0.05,0.652
215000,498.75,0.06047067,0.0013031213,94.51039,0.05,0.658
220000,499.15,0.01346822,0.0022572903,92.28244,0.05,0.664
225000,499.5,0.0064698197,0.002702471,94.23933,0.05,0.6699999999999999
230000,500,0.00527921,0.005296864,99.053055,0.05,0.6759999999999999
235000,500,0.0041209417,0.006900775,101.9778,0.05,0.6819999999999999
240000,500,0.0049511343,0.0084391385,103.06421,0.05,0.688
245000,500,0.003499329,0.0053045996,103.535706,0.05,0.694
250000,500,0.0025873987,0.004847818,103.93932,0.05,0.7
255000,500,0.002731514,0.004290992,103.7402,0.05,0.706
260000,500,0.0022504097,0.004898692,103.646965,0.05,0.712
265000,500,0.0019376513,0.005902323,103.55588,0.05,0.718
270000,500,0.001536755,0.0051809754,103.343025,0.05,0.724
275000,500,0.0012767813,0.0041339104,103.23137,0.05,0.73
280000,474.9,0.09015492,-0.004117627,103.07419,0.05,0.736
285000,439.6,0.16286889,-0.0011752815,97.17408,0.05,0.742
290000,448.35,0.05413549,0.0074019367,86.67865,0.05,0.748
295000,476.8,0.013897685,-0.00044595217,81.34174,0.05,0.754
300000,490.3,0.0070099835,-0.0023856317,82.664345,0.05,0.76
305000,498.1,0.0056243795,-0.0021173828,84.318375,0.05,0.766
310000,500,0.0015488206,0.00052835024,87.47561,0.05,0.772
315000,500,0.0010611488,-0.00074844155,91.22069,0.05,0.778
320000,500,0.0010380258,-0.0021514043,95.56708,0.05,0.784
325000,500,0.00091639004,-0.0029706424,99.40586,0.05,0.79
330000,500,0.00056519324,-0.0014342624,101.62197,0.05,0.796
335000,500,0.0007787665,0.00030451798,102.488014,0.05,0.802
340000,500,0.0003167842,0.0011776929,102.57144,0.05,0.808
345000,500,0.0002485671,0.0009929568,102.39912,0.05,0.8140000000000001
350000,500,0.00026761624,0.0014395238,102.36647,0.05,0.8200000000000001
355000,500,0.00023898212,0.001265338,102.266785,0.05,0.8260000000000001
360000,500,0.0001803906,0.0010985499,102.11939,0.05,0.8320000000000001
