count,ep_reward_average,loss,td_error,qmean,eps,beta
365000,500,0.00018195386,0.0009873379,101.99445,0.05,0.8380000000000001
370000,500,0.00019876004,0.0009538199,101.92906,0.05,0.8440000000000001
375000,500,0.00018457555,0.00083862676,101.86325,0.05,0.85
380000,500,0.0002394637,0.0008904539,101.739296,0.05,0.856
385000,500,0.00028348545,0.00096686947,101.70981,0.05,0.862
390000,500,0.00023685212,0.00058253633,101.63661,0.05,0.868
395000,500,0.00018172602,0.00068468426,101.60099,0.05,0.874
400000,500,0.00016098603,0.00035972238,101.59444,0.05,0.88
405000,500,0.00014703344,0.000710313,101.527306,0.05,0.886
410000,500,0.00013183862,0.0007601615,101.41074,0.05,0.892
415000,500,0.00012699519,0.0005730957,101.324425,0.05,0.898
420000,500,0.00016240866,0.00039529192,101.23399,0.05,0.904
425000,500,0.0001306181,0.00043921376,101.14755,0.05,0.91
430000,500,0.00009229203,0.00029748082,101.0681,0.05,0.916
435000,488.65,0.03957068,-0.009323417,101.1238,0.05,0.922
440000,481.55,0.042263567,-0.0062020468,98.11248,0.05,0.928
445000,486.05,0.015665049,-0.0010659441,92.87838,0.05,0.934
450000,493.15,0.00936944,-0.0033851676,91.721985,0.05,0.94
455000,500,0.0011085491,-0.0021424661,94.94381,0.05,0.946
460000,500,0.00034993308,-0.0013692175,99.51408,0.05,0.952
465000,500,0.0001790919,0.00015782917,102.199776,0.05,0.958
470000,500,0.000117148455,0.00022093474,102.29266,0.05,0.964
475000,500,0.00007863898,0.00046478724,102.12778,0.05,0.97
480000,500,0.000045588185,0.00047683824,101.961815,0.05,0.976
485000,500,0.000050979863,0.00027870954,101.82663,0.05,0.982
490000,500,0.00005923434,0.00022705508,101.67547,0.05,0.988
495000,500,0.00006484838,-0.0000048924685,101.53499,0.05,0.994
500000,500,0.00006642629,0.00004329157,101.44258,0.05,1
