count,ep_reward_average,ep_step_average
0,0,0
5000,-163.79555,85
10000,-158.15994,87
15000,-146.84673,87
20000,-130.0184,88
25000,-130.41508,91
30000,-142.90123,94
35000,-145.50716,96
40000,-155.69467,99
45000,-133.9848,101
50000,-138.85991,106
55000,-117.33572,108
60000,-104.42085,113
65000,-77.71961,117
70000,-65.36649,120
75000,-52.008507,122
80000,-42.298405,127
85000,-30.541079,130
90000,-25.987438,133
95000,-24.13257,139
100000,-22.075203,142
105000,-20.287666,146
110000,-21.960169,150
115000,-22.644804,155
120000,-22.392971,159
125000,-18.054337,165
130000,-12.780715,170
135000,-9.60365,174
140000,-7.6850805,179
145000,-0.49911407,185
150000,5.08906,190
155000,9.6679325,194
160000,11.867992,199
165000,15.668229,203
170000,22.785295,208
175000,25.620956,213
180000,32.689236,218
185000,37.82031,222
190000,39.356956,227
195000,43.210884,231
200000,46.86167,235
205000,47.264114,240
210000,51.544952,244
215000,51.979935,248
220000,55.886,252
225000,56.799442,256
230000,56.973633,260
235000,58.299034,264
240000,61.017258,269
245000,63.471016,272
250000,64.49903,276
255000,65.259674,279
260000,64.667435,283
265000,64.0208,286
270000,75.191246,289
275000,79.51538,292
280000,84.15402,295
285000,85.054474,298
290000,87.85425,301
295000,84.937294,303
300000,85.13201,306
305000,84.22017,309
310000,77.21954,312
315000,82.0361,314
320000,78.94787,315
325000,77.2718,317
330000,75.686905,320
335000,65.226654,323
340000,56.27083,325
345000,52.800903,327
350000,53.509506,331
355000,55.510956,333
360000,62.5187,336
365000,61.520294,337
370000,67.716385,339
375000,72.05109,342
380000,71.48248,344
385000,77.28984,346
390000,83.27724,349
395000,84.50128,351
400000,86.92356,353
405000,96.84591,355
410000,104.50493,357
415000,106.09323,359
420000,109.25175,360
425000,109.62543,362
430000,118.475204,363
435000,113.36468,365
440000,113.56625,367
445000,114.15044,368
450000,114.28618,370
455000,116.73259,371
460000,115.81665,373
465000,115.404755,375
470000,113.13515,377
475000,111.14175,377
480000,111.13319,379
485000,111.80993,381
490000,111.56458,383
495000,106.933014,384
500000,107.579926,385
505000,110.93882,387
510000,105.31173,388
515000,105.275604,389
520000,105.246155,390
525000,101.61437,391
530000,103.418915,391
535000,103.13492,392
540000,106.79502,394
545000,99.64928,394
550000,102.91067,394
555000,105.47556,396
560000,108.33853,396
565000,112.235695,397
570000,115.002365,398
575000,117.951904,399
580000,119.16013,400
585000,122.31777,402
590000,126.1318,403
595000,126.278625,404
600000,124.402214,406
605000,128.06479,406
610000,123.44785,407
615000,121.82961,409
620000,115.047195,408
625000,110.91948,408
630000,109.22558,408
635000,111.013855,409
640000,110.68102,410
645000,108.73483,411
650000,109.58769,411
655000,112.39451,411
660000,123.24599,412
665000,130.1782,413
670000,134.14174,414
675000,136.63814,415
680000,136.81932,415
685000,136.26855,416
690000,132.63219,417
695000,129.00165,418
700000,132.65181,419
705000,125.31115,418
710000,124.94998,419
715000,121.865524,419
720000,119.12768,420
725000,121.02019,421
730000,122.42408,422
735000,124.28911,423
740000,127.37225,424
745000,123.10421,426
750000,124.11772,426
755000,126.6651,427
760000,129.78465,428
765000,127.82626,429
770000,134.01529,430
775000,129.27779,431
780000,128.58357,430
785000,132.07004,431
790000,127.13791,431
795000,126.10693,431
800000,129.60658,432
805000,132.83022,433
810000,128.95763,433
815000,128.50441,435
820000,126.77086,436
825000,131.52872,435
830000,130.08716,436
835000,136.28882,436
840000,133.75873,437
845000,136.82593,437
850000,135.48149,438
855000,136.47891,439
860000,134.75253,439
865000,139.08188,439
870000,137.10391,439
875000,132.95537,440
880000,137.81989,441
885000,140.053,441
890000,139.91557,442
895000,139.51932,443
900000,138.27585,444
905000,139.43652,445
910000,143.24332,447
915000,146.55896,448
920000,144.4477,449
925000,148.28104,449
930000,148.33316,450
935000,152.33382,451
940000,156.9156,452
945000,156.70502,452
950000,155.0377,453
955000,153.54916,453
960000,150.60204,454
965000,151.81384,455
970000,152.37265,456
975000,155.8369,457
980000,158.08174,457
985000,160.30144,458
990000,158.03749,459
995000,153.31496,460
1000000,153.75644,460
1005000,153.93968,461
1010000,158.40326,462
1015000,162.28496,462
1020000,159.31512,463
1025000,162.48366,464
1030000,165.49922,464
1035000,162.18437,464
1040000,161.70659,465
1045000,157.53888,465
1050000,156.59561,465
1055000,160.04681,465
1060000,157.87488,466
1065000,155.20503,467
1070000,147.11667,467
1075000,149.42807,467
1080000,148.43533,468
1085000,145.06197,469
1090000,141.52124,469
1095000,144.30977,469
1100000,146.21666,470
1105000,154.043,469
1110000,154.03233,470
1115000,151.08829,471
1120000,150.62663,471
1125000,153.81757,471
1130000,155.88681,471
1135000,151.90083,471
1140000,154.18266,471
1145000,156.2954,472
1150000,150.82964,472
1155000,151.98569,471
1160000,153.83086,472
1165000,153.13342,472
1170000,153.42967,473
1175000,154.8272,473
1180000,150.96977,472
1185000,150.622,473
1190000,156.92883,473
1195000,153.10814,474
1200000,151.44286,473
1205000,148.44139,474
1210000,143.66685,474
1215000,141.79768,474
1220000,138.46507,475
1225000,140.84117,476
1230000,136.06654,476
1235000,141.17384,476
1240000,142.53792,477
1245000,144.2082,477
1250000,143.32939,478
1255000,148.29301,477
1260000,155.81587,477
1265000,154.75279,477
1270000,155.06177,477
1275000,160.31923,478
1280000,160.2632,479
1285000,159.50803,479
1290000,159.83028,479
1295000,157.681,479
1300000,153.7186,480
1305000,148.79897,480
1310000,148.77728,480
1315000,145.0929,481
1320000,145.22081,481
1325000,151.19055,481
1330000,150.11728,482
1335000,150.15662,482
1340000,150.71931,483
1345000,147.48222,483
1350000,149.03975,484
1355000,146.53233,483
1360000,146.5175,483
1365000,147.0076,484
1370000,148.13214,484
1375000,140.57573,484
1380000,136.96529,484
1385000,138.77924,485
1390000,138.98576,486
1395000,136.1357,486
1400000,129.21231,486
1405000,131.08467,487
1410000,133.82033,488
1415000,142.51752,487
1420000,146.4902,487
1425000,150.58582,487
1430000,154.66641,486
1435000,156.79532,487
1440000,156.17189,487
1445000,152.95642,488
1450000,158.6064,488
1455000,160.19055,489
1460000,162.03517,489
1465000,158.6821,489
1470000,159.977,489
1475000,154.89821,489
1480000,148.99164,489
1485000,148.596,488
