count,ep_reward_average,ep_step_average
0,0,0
5000,-149.57617,90
10000,-143.09924,90
15000,-137.6511,94
20000,-121.833885,96
25000,-111.49289,101
30000,-112.89743,105
35000,-107.355225,108
40000,-89.08603,112
45000,-69.88815,116
50000,-58.332447,119
55000,-51.532665,124
60000,-51.84351,131
65000,-48.703926,136
70000,-51.532352,141
75000,-47.15901,144
80000,-45.65819,150
85000,-43.67627,156
90000,-42.60388,160
95000,-45.33241,164
100000,-43.847095,169
105000,-45.255356,173
110000,-40.765564,179
115000,-43.992172,183
120000,-43.591537,187
125000,-36.92855,192
130000,-30.736362,196
135000,-24.631767,201
140000,-19.017176,205
145000,-14.8517275,210
150000,-7.767004,215
155000,-8.665232,220
160000,-7.9998174,224
165000,-5.1144238,230
170000,-0.14648575,233
175000,7.0701737,239
180000,11.758058,243
185000,16.748495,248
190000,17.93859,252
195000,19.759523,257
200000,23.76411,262
205000,28.274792,267
210000,29.935461,271
215000,29.815014,275
220000,33.99729,279
225000,34.36816,284
230000,38.29099,288
235000,40.610313,292
240000,40.77598,296
245000,43.903885,301
250000,44.390194,305
255000,42.588707,308
260000,42.463116,312
265000,45.154564,316
270000,45.076714,320
275000,47.977833,324
280000,48.410534,328
285000,49.860283,331
290000,50.05924,335
295000,50.471256,339
300000,55.364513,341
305000,59.625244,344
310000,63.594627,348
315000,63.90689,350
320000,67.77306,353
325000,70.53018,356
330000,71.54304,358
335000,76.31049,362
340000,80.355965,365
345000,81.4903,367
350000,78.12066,370
355000,79.18793,373
360000,81.31579,376
365000,81.728584,380
370000,82.404396,382
375000,82.37588,385
380000,80.68876,387
385000,78.79196,390
390000,80.2319,392
395000,82.22749,394
400000,86.272804,397
405000,87.50175,399
410000,87.40977,402
415000,91.54119,404
420000,93.43744,406
425000,99.44549,408
430000,104.024055,411
435000,104.85009,412
440000,106.695045,414
445000,109.00391,416
450000,110.29498,419
455000,111.24698,421
460000,115.27057,424
465000,117.71675,426
470000,120.10383,427
475000,120.728096,430
480000,123.13345,432
485000,124.85872,434
490000,124.84475,436
495000,122.59549,439
500000,121.04924,441
505000,120.78871,442
510000,123.54754,444
515000,122.059746,445
520000,123.02337,446
525000,123.92634,447
530000,122.48919,449
535000,121.948006,451
540000,122.72705,452
545000,123.6763,453
550000,121.7936,455
555000,119.25915,457
560000,121.76187,458
565000,125.15116,459
570000,127.035965,460
575000,125.059814,461
580000,120.21882,461
585000,122.90909,461
590000,121.715294,462
595000,128.4604,463
600000,124.320206,463
605000,126.39165,463
610000,127.842316,464
615000,130.30603,464
620000,126.95024,465
625000,128.80258,464
630000,129.2437,465
635000,118.92511,463
640000,118.25105,465
645000,118.63284,465
650000,115.67979,467
655000,117.90028,467
660000,118.88528,468
665000,119.46935,468
670000,118.081116,468
675000,115.4667,469
680000,122.80602,469
685000,120.05835,469
690000,124.90359,471
695000,133.48691,470
700000,136.65465,470
705000,138.32378,470
710000,139.91695,470
715000,139.11302,471
720000,134.67155,471
725000,141.49538,471
730000,136.76265,471
735000,135.78346,472
740000,137.27716,473
745000,139.18819,474
750000,133.57993,475
755000,130.4464,476
760000,130.8565,477
765000,130.10342,479
770000,128.386,480
775000,128.4227,481
780000,125.57708,482
785000,131.78961,483
790000,124.9162,483
795000,126.39959,484
800000,126.10893,484
805000,123.22177,484
810000,114.92934,484
815000,121.00285,485
820000,118.59732,484
825000,116.671036,485
830000,118.60159,486
835000,115.13888,486
840000,113.69866,486
845000,119.127815,487
850000,115.27864,488
855000,117.62088,489
860000,120.87022,490
865000,122.76555,491
870000,128.93678,492
875000,129.14326,493
880000,127.983284,493
885000,129.88034,494
890000,127.86404,495
895000,123.67422,496
900000,126.66433,497
905000,127.360664,498
910000,130.08273,498
915000,129.83122,499
920000,134.11758,500
925000,132.54198,500
930000,127.79729,501
935000,125.633125,501
940000,130.95862,502
945000,129.85744,503
950000,129.27771,503
955000,129.36017,503
960000,133.47308,504
965000,131.0517,505
970000,132.3517,506
975000,132.12692,507
980000,133.14742,507
985000,133.98181,508
990000,138.60217,508
995000,146.23442,508
1000000,148.35962,508
1005000,156.90651,507
1010000,162.07082,506
1015000,163.98045,506
1020000,173.17154,504
1025000,172.86028,502
1030000,174.79002,501
1035000,175.5586,498
1040000,177.42822,498
1045000,181.05606,497
1050000,188.88947,496
1055000,192.68994,495
1060000,197.64963,494
1065000,200.77252,493
1070000,198.92215,492
1075000,201.63202,492
1080000,199.45018,492
1085000,200.33812,491
1090000,201.09122,490
1095000,198.42258,488
1100000,195.04451,487
1105000,203.0413,486
1110000,209.29071,484
1115000,206.13846,484
1120000,205.12238,483
1125000,204.09952,484
1130000,205.78242,482
1135000,217.08427,481
1140000,222.80496,478
1145000,228.8339,475
1150000,237.62202,474
1155000,235.64139,473
1160000,225.68613,472
1165000,219.83049,471
1170000,212.13464,469
1175000,203.89922,468
1180000,201.99574,466
1185000,193.66269,466
1190000,193.9092,465
1195000,209.44844,463
1200000,212.68195,462
1205000,209.52972,461
1210000,210.75975,460
1215000,211.46678,461
1220000,212.0055,460
1225000,209.95004,459
1230000,204.46846,459
1235000,211.9891,457
1240000,210.45045,456
1245000,218.46889,454
1250000,227.0162,453
1255000,225.1519,452
1260000,225.6963,451
1265000,226.67606,450
1270000,231.98041,448
1275000,226.60637,448
1280000,223.40923,447
1285000,224.5948,447
1290000,223.61566,446
1295000,216.46532,446
1300000,214.26501,446
1305000,218.24533,446
1310000,221.77943,445
1315000,230.08092,444
1320000,229.0079,443
1325000,233.29124,442
1330000,237.28427,441
1335000,234.7174,440
1340000,231.58412,438
1345000,234.9454,437
1350000,232.93312,436
1355000,237.75107,435
1360000,239.18903,434
1365000,234.11009,433
1370000,232.93564,432
1375000,233.71266,431
1380000,232.8937,430
1385000,228.39058,429
1390000,228.73773,428
1395000,233.86118,427
1400000,239.39731,427
1405000,238.89964,426
1410000,235.00067,425
1415000,245.47517,423
1420000,243.25015,423
1425000,237.33015,423
1430000,238.1031,422
1435000,236.63377,420
1440000,245.45537,420
1445000,237.50696,419
1450000,243.74492,418
