count,ep_reward_average,loss,td_error,qmean,eps
0,NaN,0,0,0,1
5000,19.35,0,0,0,0.962
10000,22,1.3667543,1.1567937,-0.12141078,0.924
15000,17.25,1.2632711,0.32153854,4.2102237,0.886
20000,32.2,2.7492957,0.05593605,11.143644,0.848
25000,40.85,5.0114903,0.041319486,18.596876,0.81
30000,52.45,7.5619755,0.03344455,27.424967,0.772
35000,38.45,9.946499,0.03338347,36.778168,0.734
40000,58.05,12.758748,0.032848176,46.03401,0.696
45000,46.3,17.075533,0.03189916,55.34483,0.658
50000,66.75,21.375973,0.03846975,65.28884,0.62
55000,105.85,24.48078,0.014155597,73.92831,0.582
60000,95.95,23.5084,0.026525341,81.553566,0.544
65000,106,25.039936,0.0241132,88.74283,0.506
70000,160,22.731642,0.014240496,92.93126,0.468
75000,165.8,16.410385,0.00735449,95.968575,0.43
80000,214.8,13.937662,0.008877245,97.44772,0.392
85000,208.75,7.49362,0.0045083426,96.88112,0.354
90000,192.4,4.184588,0.0061068153,95.10284,0.316
95000,188.95,3.8977215,-0.0003124223,93.562775,0.278
100000,208.45,4.996795,0.003346541,91.47869,0.24
105000,210.85,2.7308218,0.0005994997,89.104996,0.202
110000,202.05,1.0358332,0.0013338277,85.07577,0.164
115000,207.6,0.5083334,-0.00063986727,80.94697,0.126
120000,210.05,0.40305823,-0.0008226572,78.258,0.088
125000,202.6,0.2912144,-0.0007092677,76.153076,0.05
130000,209.55,0.19862233,-0.0011138094,73.41472,0.05
135000,205,0.12989691,-0.000744935,70.62873,0.05
140000,213.05,0.11132214,-0.0011740777,69.148544,0.05
145000,214.55,0.10064113,-0.00038784798,67.75204,0.05
150000,216.2,0.08551249,-0.00047650642,66.643486,0.05
155000,223.9,0.07567528,-0.00022742433,65.492355,0.05
160000,224.3,0.065724485,-0.00007126921,65.21499,0.05
165000,233.6,0.060605094,-0.00025330632,64.98667,0.05
170000,239.9,0.056798965,0.00010489482,65.21018,0.05
175000,249,0.051614728,0.0003216769,65.68142,0.05
180000,261.65,0.048317246,-0.000023549586,65.97776,0.05
185000,271.75,0.0690793,0.00052725314,66.73159,0.05
190000,289.05,0.1173739,0.00029268765,67.24099,0.05
195000,320.55,0.18410721,0.0005283627,66.86645,0.05
200000,350.9,0.24540155,0.0018913872,67.31385,0.05
205000,405.8,0.44913894,0.0014841628,69.21983,0.05
210000,469.75,0.9218326,0.0020870103,71.39197,0.05
215000,498.55,0.51483715,0.00051461376,77.48362,0.05
220000,500,0.2233279,0.0006866456,86.412,0.05
225000,492.3,0.05535252,0.00022488099,93.4621,0.05
230000,492.3,0.036713358,0.00052952167,95.42305,0.05
235000,500,0.034073696,-0.0000040669443,96.097305,0.05
240000,500,0.016362708,0.00015884876,97.65306,0.05
245000,500,0.013498349,0.00014787816,98.8133,0.05
250000,500,0.01091963,0.0000769794,99.50425,0.05
255000,500,0.009551849,0.0001083529,99.7238,0.05
260000,500,0.012028574,0.00016165889,99.964005,0.05
265000,500,0.013552074,-0.00007644582,99.98974,0.05
270000,500,0.01083577,0.00012381613,99.82828,0.05
275000,500,0.009498075,0.000083748695,99.87911,0.05
280000,500,0.00841777,-0.00008107901,99.9532,0.05
285000,500,0.0074162013,0.000114819646,99.956696,0.05
290000,500,0.0069962065,0.000007675529,99.9686,0.05
295000,500,0.007841803,0.00011561906,99.98676,0.05
300000,500,0.008347263,-0.000019588231,100.04944,0.05
305000,477.85,0.45818242,0.0005584928,100.30126,0.05
310000,477.85,0.5715139,0.00022440648,100.71918,0.05
315000,500,0.41943285,0.00012831819,101.083336,0.05
320000,500,0.0063670753,-0.000024348139,101.05566,0.05
325000,500,0.0035135641,-0.000008035899,101.04168,0.05
330000,500,0.0027032527,-0.00003248358,101.00897,0.05
335000,500,0.0026075356,-0.00001890099,101.06396,0.05
340000,500,0.0027405478,0.00000088250636,101.085144,0.05
345000,500,0.0026087395,-0.000011754871,101.09969,0.05
350000,500,0.0025528974,0.000007624626,101.13133,0.05
355000,500,0.0020447935,-0.0000046459436,101.1183,0.05
360000,500,0.002121894,-0.00001862681,101.1138,0.05
365000,500,0.002418478,0.00002952373,101.12293,0.05
370000,500,0.0027243253,0.000034058095,101.03384,0.05
375000,500,0.0032946125,0.000012283087,101.00839,0.05
380000,500,0.0038545905,-0.000017771721,101.04717,0.05
385000,500,0.0030803648,-0.000010163307,100.980225,0.05
390000,500,0.0031428682,0.000054894208,100.92569,0.05
395000,500,0.0024450088,0.000022259832,100.91693,0.05
400000,500,0.0023755296,-0.000038629412,100.82345,0.05
405000,454.4,0.9223215,-0.000009715676,100.654335,0.05
410000,326.45,1.764683,0.0011271682,98.95649,0.05
415000,225.45,1.1510249,0.0012854147,88.962776,0.05
420000,220.15,0.753701,0.0004835738,78.88247,0.05
425000,209.95,0.982286,0.0027389047,74.857544,0.05
430000,298.45,0.8418463,-0.00012807631,73.89763,0.05
435000,407.1,0.19481798,0.000112716734,82.25726,0.05
440000,485.85,0.03500766,0.000079530706,96.2729,0.05
445000,500,0.0099087125,-0.00008667189,105.8093,0.05
450000,500,0.0046999585,-0.00013830888,106.72866,0.05
455000,500,0.0044209613,-0.00009234953,106.53714,0.05
460000,500,0.0059920955,-0.000050467374,106.367966,0.05
465000,500,0.0051767416,-0.000019325256,106.20702,0.05
470000,500,0.0072409166,-0.000057622434,105.91626,0.05
475000,500,0.006152694,-0.000083975436,105.58832,0.05
480000,500,0.004709766,0.000003769517,105.223,0.05
485000,500,0.0037678047,-0.00005338931,104.823654,0.05
490000,500,0.0036948863,-0.00002383852,104.54175,0.05
495000,500,0.0036796324,-0.000059519054,104.23733,0.05
500000,500,0.0033735964,-0.000019243598,103.88087,0.05
