count,ep_reward_average,ep_step_average
1515000,219.01881,441
1520000,223.3151,440
1525000,217.38441,440
1530000,222.5524,439
1535000,220.08891,438
1540000,225.50029,437
1545000,225.37965,436
1550000,221.95293,435
1555000,221.16533,435
1560000,212.31032,435
1565000,211.44823,434
1570000,219.03151,433
1575000,215.66286,432
1580000,213.33391,431
1585000,216.89131,431
1590000,224.01324,431
1595000,228.736,431
1600000,226.17236,430
1605000,215.75705,429
1610000,217.615,428
1615000,217.14075,427
1620000,215.40979,427
1625000,212.80649,427
1630000,207.66206,427
1635000,203.04697,427
1640000,209.0697,426
1645000,204.06108,425
1650000,197.7639,425
1655000,195.01953,424
1660000,197.33736,423
1665000,194.67982,423
1670000,199.75989,422
1675000,199.8821,421
1680000,200.09265,421
1685000,204.73235,421
1690000,211.14844,421
1695000,207.27994,420
1700000,213.55743,419
1705000,213.13628,419
1710000,219.91516,418
1715000,220.39946,417
1720000,210.27275,416
1725000,213.33498,416
1730000,207.71646,415
1735000,209.98477,414
1740000,202.57928,414
1745000,196.73172,413
1750000,205.67216,413
1755000,211.29674,412
1760000,203.19293,412
1765000,196.12599,411
1770000,201.90749,410
1775000,206.83733,410
1780000,200.93414,409
1785000,189.22635,409
1790000,188.48033,408
1795000,184.47403,407
1800000,187.11502,407
1805000,181.8353,406
1810000,192.47662,405
1815000,201.48114,404
1820000,206.3609,404
1825000,217.44579,404
1830000,223.50305,403
1835000,231.79576,404
1840000,238.20715,403
1845000,243.58427,402
1850000,243.645,401
1855000,246.55322,401
1860000,246.1788,400
1865000,240.54996,399
1870000,239.97977,398
1875000,245.88486,397
1880000,249.63101,397
1885000,251.8776,396
1890000,254.33055,395
1895000,254.79192,395
1900000,252.55086,394
1905000,245.97394,394
1910000,246.35701,394
1915000,238.62927,393
1920000,241.6586,392
1925000,238.64223,392
1930000,233.04338,391
1935000,231.52325,391
1940000,235.60342,390
1945000,231.66359,390
1950000,226.34744,390
1955000,226.36444,389
1960000,228.00969,389
1965000,225.59512,388
1970000,228.13416,387
1975000,232.30956,386
1980000,233.36655,386
1985000,231.32535,385
1990000,231.42078,384
1995000,236.01625,384
2000000,233.90913,383
