count,ep_reward_average,ep_step_average
0,0,0
5000,-182.45987,88
10000,-157.04044,100
15000,-135.52785,99
20000,-132.00246,99
25000,-127.513245,100
30000,-122.27724,100
35000,-111.75671,101
40000,-112.58212,106
45000,-112.06835,107
50000,-113.671295,109
55000,-116.85459,111
60000,-104.61862,114
65000,-90.58057,116
70000,-67.04597,119
75000,-60.710087,122
80000,-53.12994,123
85000,-47.215282,126
90000,-45.601315,128
95000,-45.209938,133
100000,-43.197945,136
105000,-42.751938,140
110000,-32.956764,145
115000,-35.3512,148
120000,-43.74207,151
125000,-45.608566,153
130000,-43.70753,155
135000,-48.93766,158
140000,-53.256046,161
145000,-51.13782,165
150000,-43.971146,166
155000,-40.778397,170
160000,-39.09343,173
165000,-34.733143,175
170000,-28.055977,179
175000,-19.247599,182
180000,-15.703257,186
185000,-11.3822365,189
190000,-6.3552437,193
195000,1.5641732,196
200000,7.2501583,200
205000,13.41061,204
210000,16.498533,207
215000,25.663488,211
220000,30.380596,215
225000,32.454205,219
230000,39.045815,222
235000,39.378666,225
240000,43.340034,229
245000,46.202145,232
250000,48.025246,236
255000,51.280487,239
260000,52.373062,243
265000,55.8125,246
270000,59.353012,249
275000,62.071724,253
280000,62.232704,256
285000,62.19225,259
290000,64.635666,262
295000,68.13975,266
300000,67.17983,269
305000,66.67085,272
310000,65.02244,275
315000,68.9472,278
320000,71.39251,282
325000,73.477516,284
330000,72.63418,288
335000,71.9689,291
340000,71.73457,294
345000,73.469986,297
350000,73.34695,299
355000,78.13083,302
360000,79.98232,305
365000,82.6632,308
370000,81.06769,310
375000,83.04013,313
380000,83.76852,315
385000,83.62364,318
390000,84.839134,321
395000,88.79108,323
400000,91.488846,326
405000,91.53651,329
410000,93.38943,331
415000,96.32861,333
420000,101.57193,336
425000,102.97403,338
430000,102.637115,340
435000,104.85522,343
440000,106.58908,345
445000,108.64801,347
450000,110.36392,349
455000,111.201385,352
460000,112.65305,354
465000,112.326584,356
470000,113.89081,358
475000,111.89712,360
480000,114.10006,363
485000,113.71837,364
490000,113.844376,367
495000,111.70579,368
500000,109.47276,370
505000,109.50363,372
510000,111.39913,374
515000,111.32517,376
520000,105.48256,378
525000,105.39048,380
530000,106.67507,382
535000,105.46747,384
540000,105.079414,386
545000,107.605675,388
550000,110.87257,390
555000,110.41841,392
560000,113.04336,394
565000,117.0466,395
570000,120.91783,397
575000,122.430916,399
580000,123.17579,401
585000,123.138596,402
590000,125.73158,404
595000,128.11372,406
600000,127.42093,407
605000,131.22206,409
610000,132.22966,410
615000,137.38799,411
620000,137.06613,413
625000,134.49973,415
630000,132.62193,416
635000,132.7384,418
640000,131.93674,419
645000,130.78004,420
650000,128.90526,422
655000,125.90295,423
660000,126.64961,424
665000,121.65143,425
670000,122.27448,426
675000,123.94025,428
680000,122.16412,430
685000,117.91493,431
690000,114.494865,432
695000,117.1965,433
700000,117.30106,435
705000,114.22377,436
710000,116.03728,437
715000,113.8485,439
720000,114.428925,440
725000,114.24219,442
730000,115.26797,443
735000,114.014984,445
740000,114.33168,446
745000,112.891396,447
750000,111.594666,448
755000,114.140045,449
760000,113.783356,451
765000,114.52686,452
770000,115.94287,453
775000,113.53096,454
780000,115.871994,456
785000,121.78742,457
790000,123.12458,459
795000,123.018776,460
800000,119.87792,461
805000,119.43702,463
810000,120.34005,464
815000,121.76658,465
820000,122.33036,467
825000,125.43339,468
830000,125.47887,469
835000,126.72474,470
840000,129.39314,471
845000,128.9942,472
850000,132.1793,473
855000,134.51257,474
860000,127.71104,475
865000,119.82803,475
870000,120.87504,476
875000,122.82429,477
