count,ep_reward_average,loss,td_error,qmean
0,NaN,0,0,0
5000,21.7,0,0,0
10000,22.45,2.574022,1.5770174,-0.09739103
15000,11.65,2.5308542,0.54981804,3.7819371
20000,39.4,6.1852813,0.22352128,10.627936
25000,49.3,8.266033,0.13740274,15.926643
30000,57.25,10.77486,0.08343694,22.622648
35000,83.95,11.005625,0.057539575,27.513033
40000,148.9,8.651254,0.0626873,30.223738
45000,225.6,9.009287,0.09774807,33.379833
50000,324.45,10.217586,0.08912883,37.731873
55000,373.35,11.362491,0.12010225,43.227573
60000,419.9,9.705713,0.095223874,49.167202
65000,292.95,10.716566,0.1221073,53.64832
70000,320.1,11.077261,0.07510236,55.963005
75000,317.45,11.151315,0.079298444,60.14692
80000,227.8,15.303707,0.048898973,63.13161
85000,144.5,19.357456,0.09077159,64.5976
90000,153.4,27.707895,0.0780825,65.570015
95000,172.75,28.163038,0.031489443,67.23994
100000,292.4,13.262632,0.03143038,67.537155
105000,311.25,7.673214,0.021283386,69.46857
110000,354.85,6.7119117,0.030875351,71.99704
115000,318.05,6.7045946,0.016333649,73.285515
120000,240.55,7.5197144,0.02401728,71.087
125000,254.85,7.2171655,0.03685972,68.047844
130000,219.7,7.5129733,0.023265295,67.95835
135000,318.15,6.3982816,-0.007370449,69.01689
140000,270.35,5.151959,0.012869867,75.09417
145000,171.25,6.4170737,0.024413088,79.86077
150000,128.65,5.208402,-0.013763185,75.46482
155000,130.05,5.0746818,0.00005363941,68.46856
160000,123.15,2.9984715,-0.0016268337,63.761406
165000,121.25,4.0478096,-0.0015580042,59.790768
170000,128.55,3.2105262,-0.037323162,55.99752
175000,157.05,1.9298068,0.0023718902,53.65309
180000,223,1.1929486,0.0021826462,56.470646
185000,266.3,1.0456406,0.0020818587,61.56659
190000,336.05,1.0322552,0.013211748,66.51448
195000,448.8,0.9017605,0.011759249,72.79713
200000,498,0.6736088,0.003778246,80.67459
205000,500,0.37216082,0.012064523,87.83756
210000,488.95,0.68624616,0.010142376,91.01276
215000,488.95,0.8638143,-0.0014583892,90.21292
220000,500,0.5827532,0.006541707,91.23723
225000,500,0.34228873,0.0015967801,94.74965
230000,500,0.25315842,0.009789057,97.12047
235000,500,0.24506876,0.0028670386,99.077324
240000,500,0.2568125,0.002748696,99.86732
245000,500,0.2332686,-0.00065653265,99.84545
250000,500,0.21282803,0.0006567209,99.97697
255000,500,0.17536029,-0.000051313997,100.70242
260000,500,0.2290468,0.010222133,101.47037
265000,500,0.20833716,0.00064210227,102.232895
270000,500,0.18041062,-0.0045568133,102.108055
275000,500,0.16562434,0.0019768584,102.31695
280000,500,0.16618593,-0.0018920703,102.24627
285000,500,0.17002633,-0.0003712903,102.030495
290000,500,0.1621084,0.005527586,101.596016
295000,500,0.15548298,0.0007665385,102.36929
300000,500,0.13901512,0.0019135377,102.69976
305000,500,0.14296648,-0.0015294981,102.68857
310000,500,0.12939127,0.0039005466,103.317215
315000,500,0.12414238,0.0009057119,103.96085
320000,500,0.12173502,0.0031821604,103.72734
325000,500,0.13908117,-0.0023865358,104.45637
330000,500,0.13898264,0.0038465662,104.67995
335000,500,0.12597562,-0.0022144432,104.96972
340000,500,0.123847835,-0.0031938644,104.18342
345000,500,0.1155988,0.004694886,103.89422
350000,500,0.11986769,0.0007116542,104.23207
355000,500,0.1161977,0.0005751512,104.68809
360000,500,0.11450427,0.0009859778,105.01896
365000,500,0.12332121,0.0038251535,105.76664
370000,500,0.1125896,-0.001826071,106.04473
375000,500,0.10929388,-0.00084960175,106.26598
380000,500,0.1298028,0.0035560823,105.775696
385000,500,0.11102803,-0.0015851241,104.84691
390000,500,0.10174132,-0.000014716506,105.02748
395000,500,0.10062531,0.00070452044,105.50176
400000,500,0.11135809,-0.002400267,105.61633
405000,500,0.10256507,0.0020278154,105.77526
410000,500,0.116448954,-0.00048598443,105.50959
415000,500,0.11328873,0.0021706684,104.96178
420000,500,0.10142443,-0.0010600635,105.07952
425000,500,0.09657284,0.00027750706,105.01879
430000,500,0.08618186,0.0011097195,104.97243
435000,500,0.11786291,0.0013790914,105.278984
440000,500,0.107790306,-0.0015119337,104.555275
445000,325.35,3.5327957,0.0013593498,104.17639
450000,11.95,19.0196,-0.004353294,102.526
455000,150.75,84.295105,-0.043184653,96.83302
460000,379.15,45.38517,-0.017930247,92.18118
465000,500,8.6961,0.010693049,99.94896
470000,500,0.46074554,-0.0012450296,101.7296
475000,500,0.3483674,0.00231209,102.02858
480000,500,0.33106863,0.008390045,102.2278
485000,500,0.28477523,0.0032395811,103.69633
490000,500,0.28258106,0.005077152,105.355965
495000,500,0.2596825,-0.0027867123,104.889206
500000,500,0.22919983,0.00072982156,104.41773
