count,ep_reward_average,loss,td_error,qmean
0,NaN,0,0,0
5000,19.39,0,0,0
10000,19.11,1.8325027,1.3040191,0.06558728
15000,12.95,2.6939595,0.54353154,4.085555
20000,18.22,6.9979844,0.22774161,10.915335
25000,45.56,11.174918,0.14845659,16.180649
30000,47.89,15.12411,0.11284209,23.550543
35000,54.57,14.750858,0.065272525,28.761919
40000,63.25,14.702376,0.04439462,31.412342
45000,82.05,11.622441,0.059836656,32.594902
50000,114.32,9.808712,0.0985274,35.410995
55000,139.39,9.44633,0.11099409,37.916275
60000,147.14,9.860096,0.093052156,38.70107
65000,124.73,8.779333,0.07044235,41.27857
70000,118.05,8.062376,0.07237375,40.806614
75000,118.86,8.93825,0.07059001,40.291153
80000,116.76,10.702095,0.060437914,41.06549
85000,116.57,17.005531,0.09049927,42.804752
90000,135.69,16.064835,0.06420061,44.083275
95000,161.74,10.742938,0.0746146,48.82127
100000,195.34,10.564818,0.06403269,52.940655
105000,206.56,11.495215,0.07545383,53.079693
110000,180.3,10.924736,0.026102962,55.53408
115000,147.95,13.413849,0.065491036,57.071186
120000,138.69,15.781819,-0.015869025,56.237667
125000,140.1,10.646751,0.027616926,57.22555
130000,161.01,6.4567795,0.030625101,60.984444
135000,163.84,4.773425,-0.001971843,61.935997
140000,156.99,3.536969,0.0108926715,60.955738
145000,144.67,2.6184583,-0.0018588157,58.35726
150000,138.73,2.1971602,0.010700233,57.243183
155000,137.43,1.6612209,-0.009166305,55.579967
160000,144.93,1.855144,0.013123998,56.11716
165000,157.88,1.7969079,0.0012680301,56.60683
170000,174.25,1.8385528,0.0052308845,58.034668
175000,195.69,1.8720201,0.013728714,59.751625
180000,216.01,1.9409392,-0.0024821581,62.321983
185000,231.91,1.4070998,0.0061559123,64.18684
190000,243.53,1.1560436,0.008040148,65.79337
195000,259.84,1.004103,-0.003729059,68.07447
200000,270.7,2.5489,0.0036252171,72.54224
205000,267.36,2.696778,0.0010128088,73.482635
210000,272.39,1.2991654,0.010211612,71.45061
215000,280.21,0.42744285,-0.003162911,72.024124
220000,286.62,0.41306034,0.0048957276,71.49721
225000,291.21,0.38833323,0.0018902041,73.68752
230000,298.27,0.37388977,0.0027281027,74.80113
235000,321.15,0.33345893,0.00062308216,76.659615
240000,332.73,0.73197204,0.003287297,78.457565
245000,349.26,0.7332161,-0.0004518508,81.25999
250000,363.76,0.44891822,-0.0006103599,81.818825
255000,379.11,0.31668702,0.0026942452,79.95042
260000,389.1,0.27474058,0.002768037,80.75775
265000,401.67,0.34781638,-0.0004220001,82.97198
270000,417.76,0.41763797,0.0008688213,87.4455
275000,416.88,0.38127473,0.0007753812,90.4235
280000,423.18,0.8551308,0.012362834,86.32326
285000,430.15,0.50980663,0.001881555,84.04336
290000,442.28,0.20104088,0.0016564319,88.96042
295000,451.42,0.2702272,0.0037741882,94.03505
300000,459.51,0.55054736,0.013664913,93.37543
305000,468.97,0.3594743,0.009186201,93.263985
310000,461.06,0.5592226,-0.000024792671,90.92331
315000,458.53,0.6379778,0.0014517112,87.80526
320000,460.78,0.35949478,0.007124364,95.04563
325000,473.94,0.20564269,0.0021071855,101.90029
330000,477.8,0.16477014,0.0013096799,102.09467
335000,477.8,0.122605056,-0.0011434525,101.89529
340000,477.8,0.1391677,0.0004102483,101.37151
345000,479.99,0.10833359,0.0008220868,101.797195
350000,479.99,0.13707907,0.0017257435,102.40758
355000,485.12,0.13490793,0.0011727831,103.28698
360000,495.95,0.13133964,0.0032797165,103.61715
365000,500,0.116427414,0.0007970153,103.96167
370000,500,0.11563769,-0.0019252358,104.136185
375000,500,0.124281436,0.0021152655,103.74934
380000,500,0.111088336,0.0013264905,103.77027
385000,500,0.11765841,-0.0005716653,104.280685
390000,500,0.122953855,0.0040189684,104.661446
395000,500,0.118520245,-0.0007455291,105.22288
400000,500,0.13000067,0.0028800683,106.2555
405000,500,0.11674667,-0.0020014301,106.32703
410000,500,0.11671124,0.00013336932,105.47411
415000,500,0.09712097,0.00066038885,105.19714
420000,500,0.08672064,0.0009019829,105.04228
425000,500,0.11426343,-0.0010617042,104.698784
430000,500,0.11347402,0.0006658492,104.62018
435000,500,0.11984565,-0.001881101,104.331795
440000,500,0.094620325,-0.0024851141,103.258064
445000,500,0.098483376,0.0027357102,102.90445
450000,500,0.096935585,-0.0019168048,103.0403
455000,500,0.10435193,0.00083291886,102.897644
460000,500,0.100403935,0.0037403393,103.537224
465000,500,0.09414334,-0.0020605635,103.78617
470000,500,0.08382572,0.00066453504,103.50425
475000,500,0.09392097,0.0019737028,103.33153
480000,500,0.09602001,-0.002273809,102.93828
485000,500,0.09646596,0.0007835467,103.06858
490000,500,0.08554003,0.001649744,103.253914
495000,500,0.09975474,0.0012242558,103.55325
500000,500,0.102090105,-0.0012651632,103.91133
