count,ep_reward_average,loss,td_error,qmean,eps,beta
0,NaN,0,0,0,1,0.4
5000,20.8,0,0,0,0.962,0.406
10000,19,1.0320413,1.0148655,0.09880064,0.924,0.41200000000000003
15000,19,0.50334215,0.30855176,4.408551,0.886,0.41800000000000004
20000,27.65,1.0413387,0.039947152,11.62686,0.848,0.42400000000000004
25000,31.1,1.9119503,0.02342559,19.719688,0.81,0.43000000000000005
30000,45.7,2.6999679,0.02071315,27.62945,0.772,0.436
35000,61.65,3.087252,0.03678006,36.83539,0.734,0.442
40000,40.95,3.9481957,0.035967514,46.90696,0.696,0.448
45000,55.4,4.2734942,0.04726864,57.232983,0.658,0.454
50000,80.9,6.353702,0.031771358,67.55878,0.62,0.46
55000,80.6,6.7716913,0.027596429,76.11332,0.582,0.466
60000,114.1,5.843003,0.03399937,84.08439,0.544,0.47200000000000003
65000,127.2,6.5194054,0.027052324,91.24684,0.506,0.47800000000000004
70000,187.3,4.8675246,0.019469425,96.26039,0.468,0.484
75000,176.8,4.195233,0.023972837,101.90357,0.43,0.49
80000,229.85,3.577961,0.016204802,104.68809,0.392,0.496
85000,253.8,2.6745563,0.01497675,104.2739,0.354,0.502
90000,242.55,1.5120423,0.010888327,105.9896,0.316,0.508
95000,293.9,1.3520607,0.011589869,106.022835,0.278,0.514
100000,318.8,1.1283299,0.0039281086,105.47203,0.24,0.52
105000,354.45,1.1922147,0.003225925,106.380646,0.202,0.526
110000,358.1,0.3936858,0.005338089,105.69928,0.164,0.532
115000,347.6,0.19277284,0.0020435923,101.892845,0.126,0.538
120000,352.5,0.05702604,0.0005781863,98.65171,0.088,0.544
125000,333.85,0.037058037,-0.00007029724,95.83638,0.05,0.55
130000,319.65,0.02043963,-0.000162112,92.33364,0.05,0.556
135000,327.65,0.017848466,0.00020250249,89.57082,0.05,0.562
140000,330.8,0.013817217,-0.00040099098,87.50682,0.05,0.5680000000000001
145000,341.35,0.011915124,-0.0017425773,85.93552,0.05,0.5740000000000001
150000,344.35,0.013591439,-0.0016857916,83.84146,0.05,0.5800000000000001
