count,ep_reward_average,loss,td_error,qmean
0,NaN,0,0,0
5000,19.36,0,0,0
10000,21.65,2.722043,1.6447837,-0.34366238
15000,14,2.5679355,0.5363281,3.9690485
20000,23.52,5.4279594,0.18230985,10.522743
25000,43.45,9.202094,0.13391827,15.67471
30000,52.88,10.6567135,0.071432225,21.482285
35000,69.4,11.229571,0.0844661,26.852474
40000,78.51,8.821851,0.066036604,29.657915
45000,96.28,6.00929,0.07492935,31.645538
50000,123.17,6.267464,0.095984876,30.945698
55000,147.28,6.943104,0.13850224,29.72359
60000,171.7,10.259926,0.13465814,36.136116
65000,193.91,10.295672,0.13169527,41.87
70000,208.05,11.518967,0.0633495,47.417065
75000,214.18,11.464814,0.084981896,51.362076
80000,210.79,10.772806,0.072614536,52.442318
85000,183.67,11.725,0.07079524,53.364464
90000,165.85,11.862667,0.05322714,54.09267
95000,144.58,10.597161,0.05334636,53.571163
100000,142.37,11.057705,0.048720367,55.573948
105000,140.13,8.080912,0.00015287053,54.822914
110000,149.9,6.8810215,0.012704931,55.441376
115000,160.86,4.7831645,0.014128662,56.672173
120000,179.93,4.693918,0.019542562,60.43912
125000,187.28,4.7644114,0.031077974,62.80191
130000,117.98,8.174362,0.038268507,63.838467
135000,122.81,16.167267,0.0033831366,63.248413
140000,137.79,13.374791,0.02439716,64.51277
145000,171.28,4.138982,0.020595768,68.06528
150000,207.86,3.5982833,0.003356578,69.83792
155000,234.29,3.2801301,0.012773715,66.73632
160000,230.04,3.1939595,0.017795727,65.565636
165000,208.02,2.5973725,-0.019117676,64.38248
170000,200.49,2.0154293,0.010738545,60.97946
175000,214.81,1.7663157,-0.0056136274,62.77346
180000,236.49,1.8388312,0.011931942,69.3819
185000,249.51,1.6438347,0.002236489,75.195946
190000,272.9,1.2370607,0.009450238,77.66554
195000,297.06,0.83726925,0.0051846216,80.83535
200000,323.42,0.6100394,0.008284911,81.857216
205000,350.37,0.6076942,0.008451411,83.046265
210000,370.71,0.62711257,-0.0025871235,83.706856
215000,372.75,0.7402587,0.0010413381,82.6414
220000,378.2,0.73243004,0.006852107,79.68923
225000,377.68,0.6495964,0.008093336,78.79864
230000,386.12,0.50795996,-0.0027169215,82.887375
235000,395.78,0.4281127,-0.0024821463,89.134285
240000,405.85,0.40192327,0.0025673339,93.23211
245000,411.53,0.31960264,0.0043599433,95.43627
250000,417.24,0.2529283,0.0056914855,98.11298
255000,430.21,0.23216622,0.0036985907,99.60052
260000,443.9,0.21137601,-0.00282676,101.333664
265000,466.47,0.20335054,0.005955717,102.465164
270000,483.68,0.20014034,-0.00097245345,103.10741
275000,493.47,0.17482924,0.0023365002,103.43705
280000,496.23,0.16222258,-0.0023565355,103.88072
285000,500,0.1754933,0.0033225727,104.1418
290000,500,0.2017928,0.002674627,104.57116
295000,500,0.17254767,0.0046917177,105.0782
300000,500,0.17664376,0.0025139835,105.71442
305000,500,0.16194499,-0.00223423,105.5489
310000,500,0.14949751,0.0019321507,106.08731
315000,500,0.16631103,-0.0016739559,106.34139
320000,500,0.14928755,-0.0014407417,105.50608
325000,500,0.14666693,0.0037345018,105.24927
330000,500,0.1112613,-0.0006494689,105.62685
335000,500,0.121932864,-0.0031412789,105.24667
340000,500,0.12500554,-0.00005754292,104.96773
345000,500,0.112304725,0.0026090331,104.85176
350000,500,0.1272052,-0.00018122625,104.97002
355000,500,0.12125733,-0.00019913804,105.57401
360000,500,0.12183105,0.0026456418,104.98856
365000,500,0.12091259,-0.0014553926,104.85113
370000,500,0.112833716,0.0012327876,104.61661
375000,500,0.099371895,-0.0021564255,104.176346
380000,500,0.11130728,0.002210207,104.288124
385000,500,0.09694834,0.0009029223,104.3531
390000,500,0.093729086,-0.0016464642,104.69391
395000,500,0.090974905,-0.0006696824,104.32124
400000,500,0.106791,0.00051721296,103.66136
405000,500,0.11558823,-0.0029391441,102.99693
410000,500,0.08986716,0.004003991,103.115944
415000,500,0.098895185,-0.0006832486,103.06856
420000,500,0.09801394,0.00081219996,103.36687
425000,500,0.10249533,0.0012964759,103.64927
430000,500,0.09448677,0.0012491902,104.06424
435000,500,0.1343154,0.00062095403,103.800354
440000,497.2,0.92078286,-0.000523172,104.05361
445000,497.2,0.43798319,0.0016550258,104.037476
450000,493.59,0.94406676,0.0018271778,103.79969
455000,493.59,0.64901847,0.0010520122,103.45722
460000,488.75,1.281914,-0.0014491591,104.083084
465000,488.75,1.5731564,0.0017186801,104.35783
470000,488.75,0.2666205,0.00021438455,103.85445
475000,488.75,0.0835198,0.00006059432,103.372314
480000,488.75,0.103193216,-0.0022432385,103.568924
485000,491.55,0.09159512,0.0057219337,104.287796
490000,491.55,0.091561876,-0.0026298638,104.69234
495000,491.55,0.08899425,0.0026464653,105.153755
500000,495.16,0.08228897,-0.001011483,105.56043
