count,ep_reward_average,loss,td_error,qmean,eps
0,NaN,0,0,0,1
5000,22.45,0,0,0,0.962
10000,22.6,1.096762,1.046458,0.015531838,0.924
15000,23.85,1.1574107,0.28942952,4.4176245,0.886
20000,29.45,2.9952316,0.06153677,12.008767,0.848
25000,44.45,5.944419,0.0389487,19.619678,0.81
30000,43.15,7.6861157,0.030720184,27.465242,0.772
35000,57.35,9.539981,0.035401978,35.59481,0.734
40000,35.7,12.428644,0.03355719,44.260742,0.696
45000,41.15,15.547456,0.030373719,53.282753,0.658
50000,73.5,19.333347,0.032952458,61.89548,0.62
55000,89.85,20.906609,0.032456867,71.13419,0.582
60000,94.85,21.578978,0.028068712,79.16909,0.544
65000,128.1,21.54893,0.022752063,86.12545,0.506
70000,138.7,17.394833,0.023698581,92.768814,0.468
75000,169.25,18.397507,0.01184438,97.769325,0.43
80000,233.9,17.075413,0.0137450965,101.12217,0.392
85000,272.2,13.018784,0.010159289,102.30982,0.354
90000,302.2,7.593164,0.0029945709,102.65217,0.316
95000,297,5.248307,0.0028873,101.366875,0.278
100000,343.9,2.6979876,0.004154119,101.84748,0.24
105000,360,1.8847551,-0.0004051082,103.77714,0.202
110000,362.5,1.3882748,0.00073838176,101.334915,0.164
115000,402,0.5352101,-0.0007623614,99.693245,0.126
120000,383.3,0.33923584,-0.001441531,98.558495,0.088
125000,405.45,0.20964542,-0.000794326,96.64964,0.05
130000,414.3,0.121532455,-0.00075275113,96.36183,0.05
135000,438,0.09742145,-0.00045769056,95.879944,0.05
140000,443.15,0.0916118,-0.00076127774,94.965195,0.05
145000,413.7,0.083404034,0.000012389526,92.730095,0.05
150000,417.25,0.06924574,-0.0006253294,89.44598,0.05
155000,429,0.05997496,-0.00012918227,88.00862,0.05
160000,438,0.059922915,-0.000099548044,87.56714,0.05
165000,450.7,0.06024964,-0.00023828869,86.75094,0.05
170000,468.7,0.052168425,-0.0003927693,85.87172,0.05
175000,482.8,0.05434996,-0.00003884633,85.820076,0.05
180000,493.05,0.04824523,0.00012172331,86.32216,0.05
185000,499.15,0.046146933,-0.00007063487,89.28214,0.05
190000,500,0.04510334,-0.00027200376,91.58596,0.05
195000,500,0.045162205,0.00018008272,93.91089,0.05
200000,500,0.03835612,0.00007448101,95.061295,0.05
205000,500,0.033451952,-0.00018922379,94.78741,0.05
210000,500,0.036297414,0.000020282418,95.06174,0.05
215000,500,0.039681558,-0.0000033599138,96.16383,0.05
220000,500,0.032588817,0.000029588698,96.51032,0.05
225000,500,0.029197825,0.0000222404,96.502075,0.05
230000,500,0.026209187,-0.000007867932,97.12425,0.05
235000,472.55,0.53929096,-0.00019675326,97.485504,0.05
240000,472.55,0.7950791,-0.00054463674,99.21546,0.05
245000,500,0.450789,-0.000012309909,101.82147,0.05
250000,500,0.027584534,0.00018194568,102.8805,0.05
255000,500,0.014958762,-0.000093062044,102.957275,0.05
260000,500,0.00818121,-0.000098446966,102.82276,0.05
265000,500,0.008192224,0.000080436825,102.65568,0.05
270000,500,0.009613326,-0.00013511407,102.572586,0.05
275000,500,0.011633363,0.00007070148,102.52791,0.05
280000,500,0.013013385,-0.00003769386,102.44746,0.05
285000,500,0.013565419,-0.000103371385,102.36306,0.05
290000,500,0.01663026,0.000116039875,102.21011,0.05
295000,500,0.014458909,0.000025271893,102.18494,0.05
300000,484.25,0.17820919,0.000104375,102.18752,0.05
305000,484.25,0.61397606,0.00029401766,102.49179,0.05
310000,500,0.4211569,0.00041981935,102.73333,0.05
315000,500,0.0260006,0.00023467469,102.659744,0.05
320000,500,0.014614608,-0.00013732398,102.62474,0.05
